"'Still , Preetam wants to see Nandini if she meets him again .",How much had they known each other?,only a few -,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,10 seconds,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much had they known each other?,only a few centuries,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,30 years,no
"'Still , Preetam tried to ask Nandini if she meets him again .",How much had they known each other?,a second,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,90 years,no
"'Still , Preetam wants to kill Nandini if she meets him again .",How much had they known each other?,i asked if she had a jim beam,no
"'Still , Preetam wants to meet Nandini if she meets him again .",What happened before they met?,they were lonely,yes
"'Still , Preetam wants to help Nandini if she meets him again .",What happened before they met?,they were seeing different people,yes
"'Still , Preetam wants to kill Nandini if she meets him again .",How much did they think of each other?,every century,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,rarely,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every day,yes
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,daily,yes
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,never,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much did they think of each other?,every month,no
"'Still , Preetam wants to meet Nandini if she meets him again .",What day did they meet?,saturday,yes
"'Still , Preetam used to like Nandini if she meets him again .",What day did they meet?,friday,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they went out to have supper,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they walked and,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they sold a little,no
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they went and,yes
'Max and Joey would also run through them in a game of chase.,How often would they run through the fields?,max and joey ran 20 % through the fields,yes
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,"30 """,yes
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,2 seconds,no
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,1.67 times a week,no
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,5 times a week,yes
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,on most weekdays before school,yes
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,every weekend,yes
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,once every 30 centuries,no
"'Still , Preetam wants to see Nandini if she meets him again .",How much had they known each other?,only a few -,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,10 seconds,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much had they known each other?,only a few centuries,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,30 years,no
"'Still , Preetam tried to ask Nandini if she meets him again .",How much had they known each other?,a second,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much had they known each other?,90 years,no
"'Still , Preetam wants to kill Nandini if she meets him again .",How much had they known each other?,i asked if she had a jim beam,no
"'Still , Preetam wants to meet Nandini if she meets him again .",What happened before they met?,they were lonely,yes
"'Still , Preetam wants to help Nandini if she meets him again .",What happened before they met?,they were seeing different people,yes
"'Still , Preetam wants to kill Nandini if she meets him again .",How much did they think of each other?,every century,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,rarely,no
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every day,yes
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,daily,yes
"'Still , Preetam wants to see Nandini if she meets him again .",How much did they think of each other?,never,no
"'Still , Preetam wants to meet Nandini if she meets him again .",How much did they think of each other?,every month,no
"'Still , Preetam wants to meet Nandini if she meets him again .",What day did they meet?,saturday,yes
"'Still , Preetam used to like Nandini if she meets him again .",What day did they meet?,friday,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they went out to have supper,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they walked and,yes
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they sold a little,no
'Max and Joey would always run through them in a game of chase.,What happened after Max and Joey ran the fields?,they went and,yes
'Max and Joey would also run through them in a game of chase.,How often would they run through the fields?,max and joey ran 20 % through the fields,yes
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,"30 """,yes
'Max and Joey would always run through them in a game of chase.,How often would they run through the fields?,2 seconds,no
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,1.67 times a week,no
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,5 times a week,yes
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,on most weekdays before school,yes
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,every weekend,yes
'Max and Joey would always run through max in a game of chase.,How often do Max and Joey run?,once every 30 centuries,no
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,every late night before lunch,no
